id;street_name;numero_rue;postal_code;city;state_province
1;Carpentier de Nesle;a haptic;program Allemagne;West Saloméfort;Soft Colombie
2;Brunet Saint-Honoré;c generating;c;Lake Alcimeburgh;Gold harness
3;Honoré Delesseux;b;Reverse-engineered;Brest;Granite
4;Martin Saint-Jacques;Savings leading-edge SCSI;Diverse;Louishaven;Sports wireless auxiliary
5;Almire Vaneau;Technicien analyzer;JSON open-source e-services;Mérignac;Exclusive cutting-edge
6;Schneider des Panoramas;Beauty solutions;c mobile;Lucasfurt;Grenade Licensed
7;Adalric Pierre Charron;JBOD;calculating Jewelery;South Victoirefort;vertical Laffitte c
8;Abélard Saint-Bernard;Toys c Concrete;full-range;Le gallton;blue drive copying
9;Cédric Charlemagne;du;Fresh Market;Armideview;Analyste
10;Carre du Faubourg-Saint-Denis;de viral Augustins;Stagiaire turn-key;Lake Hortensebury;up PCI
